Generation,Sequence,Fitness,Score,World,Stage,X Position
12,9,3000.0,200,1,1,594
12,10,3660.0,400,1,1,722
12,11,3630.0,200,1,1,722
12,12,1515.0,0,1,1,303
12,13,3640.0,200,1,1,722
12,14,3660.0,400,1,1,722
12,15,3010.0,300,1,1,594
12,16,3630.0,200,1,1,722
12,17,3610.0,0,1,1,722
12,18,3620.0,100,1,1,722
12,19,3455.0,100,1,1,689
12,20,2980.0,100,1,1,594
12,21,3630.0,200,1,1,722
12,22,3710.0,1000,1,1,722
12,23,2980.0,100,1,1,594
12,24,3505.0,0,1,1,701
12,25,3650.0,300,1,1,722
12,26,3630.0,200,1,1,722
12,27,3010.0,300,1,1,594
12,28,3610.0,0,1,1,722
12,29,3620.0,100,1,1,722
12,30,3630.0,200,1,1,722
12,31,3070.0,1000,1,1,594
12,32,3630.0,200,1,1,722
12,33,2970.0,0,1,1,594
12,34,3070.0,1000,1,1,594
12,35,2970.0,0,1,1,594
12,36,2970.0,0,1,1,594
12,37,3630.0,200,1,1,722
12,38,3630.0,200,1,1,722
12,39,3660.0,400,1,1,722
12,40,3620.0,100,1,1,722
13,1,3720.0,1100,1,1,722
13,2,3465.0,0,1,1,693
13,3,3660.0,400,1,1,722
13,4,2980.0,100,1,1,594
13,5,3650.0,300,1,1,722
13,6,3610.0,0,1,1,722
13,7,3360.0,100,1,1,670
13,8,3620.0,100,1,1,722
13,9,3630.0,200,1,1,722
13,10,3660.0,400,1,1,722
13,11,3630.0,200,1,1,722
13,12,3660.0,400,1,1,722
13,13,3610.0,0,1,1,722
13,14,2980.0,100,1,1,594
13,15,3610.0,0,1,1,722
13,16,3620.0,100,1,1,722
13,17,3610.0,0,1,1,722
13,18,3620.0,100,1,1,722
13,19,3710.0,1000,1,1,722
13,20,3660.0,400,1,1,722
13,21,3010.0,300,1,1,594
13,22,2970.0,0,1,1,594
13,23,3660.0,400,1,1,722
13,24,3500.0,100,1,1,698
13,25,3660.0,400,1,1,722
13,26,2965.0,0,1,1,593
13,27,1570.0,0,1,1,314
13,28,3650.0,300,1,1,722
13,29,3660.0,400,1,1,722
13,30,3650.0,300,1,1,722
13,31,3010.0,300,1,1,594
13,32,3720.0,1100,1,1,722
13,33,3610.0,0,1,1,722
13,34,2980.0,100,1,1,594
13,35,2970.0,0,1,1,594
13,36,3720.0,1100,1,1,722
13,37,3660.0,400,1,1,722
13,38,3000.0,200,1,1,594
13,39,3610.0,0,1,1,722
13,40,3710.0,1000,1,1,722
14,1,3710.0,1000,1,1,722
14,2,3345.0,100,1,1,667
14,3,3360.0,100,1,1,670
14,4,3630.0,200,1,1,722
14,5,3610.0,0,1,1,722
14,6,3720.0,1100,1,1,722
14,7,3630.0,200,1,1,722
14,8,3630.0,200,1,1,722
14,9,3720.0,1100,1,1,722
14,10,3720.0,1100,1,1,722
14,11,3630.0,200,1,1,722
14,12,3630.0,200,1,1,722
14,13,3630.0,200,1,1,722
14,14,1490.0,0,1,1,298
14,15,3630.0,200,1,1,722
14,16,3610.0,0,1,1,722
14,17,1460.0,0,1,1,292
14,18,1500.0,0,1,1,300
14,19,2980.0,100,1,1,594
14,20,3620.0,100,1,1,722
14,21,2980.0,100,1,1,594
14,22,3720.0,1100,1,1,722
14,23,1545.0,0,1,1,309
14,24,3710.0,1000,1,1,722
14,25,3720.0,1100,1,1,722
14,26,3720.0,1100,1,1,722
14,27,3630.0,200,1,1,722
14,28,3720.0,1100,1,1,722
14,29,3620.0,100,1,1,722
14,30,3720.0,1100,1,1,722
14,31,3620.0,100,1,1,722
14,32,3660.0,400,1,1,722
14,33,3620.0,100,1,1,722
14,34,2980.0,100,1,1,594
14,35,3630.0,200,1,1,722
14,36,3720.0,1100,1,1,722
14,37,3715.0,1100,1,1,721
14,38,2970.0,0,1,1,594
14,39,3630.0,200,1,1,722
14,40,2970.0,0,1,1,594
15,1,1470.0,0,1,1,294
15,2,3710.0,1000,1,1,722
15,3,3630.0,200,1,1,722
15,4,3620.0,100,1,1,722
15,5,3610.0,0,1,1,722
15,6,1525.0,0,1,1,305
15,7,3620.0,100,1,1,722
15,8,3720.0,1100,1,1,722
15,9,3370.0,0,1,1,674
15,10,3720.0,1100,1,1,722
15,11,3720.0,1100,1,1,722
15,12,2970.0,0,1,1,594
15,13,3630.0,200,1,1,722
15,14,3440.0,100,1,1,686
15,15,3350.0,100,1,1,668
15,16,3620.0,100,1,1,722
15,17,3630.0,200,1,1,722
15,18,3630.0,200,1,1,722
15,19,2980.0,100,1,1,594
15,20,3360.0,0,1,1,672
15,21,3630.0,200,1,1,722
15,22,3630.0,200,1,1,722
15,23,3630.0,200,1,1,722
15,24,3630.0,200,1,1,722
15,25,3065.0,1000,1,1,593
15,26,3395.0,0,1,1,679
15,27,2970.0,0,1,1,594
15,28,3310.0,0,1,1,662
15,29,2970.0,0,1,1,594
15,30,3630.0,200,1,1,722
15,31,1490.0,0,1,1,298
15,32,2970.0,0,1,1,594
15,33,3355.0,100,1,1,669
15,34,3620.0,100,1,1,722
15,35,3620.0,100,1,1,722
15,36,3630.0,200,1,1,722
15,37,3630.0,200,1,1,722
15,38,3070.0,1000,1,1,594
15,39,3630.0,200,1,1,722
15,40,1560.0,0,1,1,312
16,1,3620.0,100,1,1,722
16,2,3720.0,1100,1,1,722
16,3,3720.0,1100,1,1,722
16,4,3720.0,1100,1,1,722
16,5,3630.0,200,1,1,722
16,6,3720.0,1100,1,1,722
16,7,3715.0,1100,1,1,721
16,8,2980.0,100,1,1,594
16,9,2980.0,100,1,1,594
16,10,3070.0,1000,1,1,594
16,11,1475.0,0,1,1,295
16,12,1480.0,0,1,1,296
16,13,3720.0,1100,1,1,722
16,14,3070.0,1000,1,1,594
16,15,3620.0,100,1,1,722
16,16,2970.0,0,1,1,594
16,17,3720.0,1100,1,1,722
16,18,3360.0,100,1,1,670
16,19,3630.0,200,1,1,722
16,20,3400.0,100,1,1,678
16,21,3620.0,100,1,1,722
16,22,3720.0,1100,1,1,722
16,23,3720.0,1100,1,1,722
16,24,3070.0,1000,1,1,594
16,25,1540.0,0,1,1,308
16,26,3620.0,100,1,1,722
16,27,3720.0,1100,1,1,722
16,28,3630.0,200,1,1,722
16,29,3710.0,1000,1,1,722
16,30,3630.0,200,1,1,722
16,31,1475.0,0,1,1,295
16,32,3630.0,200,1,1,722
16,33,2980.0,100,1,1,594
16,34,1525.0,0,1,1,305
16,35,3630.0,200,1,1,722
16,36,3320.0,0,1,1,664
16,37,2980.0,100,1,1,594
16,38,2970.0,0,1,1,594
16,39,3620.0,100,1,1,722
16,40,1510.0,0,1,1,302
17,1,3070.0,1000,1,1,594
17,2,3630.0,200,1,1,722
17,3,3520.0,0,1,1,704
17,4,3620.0,100,1,1,722
17,5,3365.0,0,1,1,673
17,6,3630.0,200,1,1,722
17,7,3630.0,200,1,1,722
17,8,1470.0,0,1,1,294
17,9,3630.0,200,1,1,722
17,10,3720.0,1100,1,1,722
17,11,3620.0,100,1,1,722
17,12,3620.0,100,1,1,722
17,13,1475.0,0,1,1,295
17,14,1505.0,0,1,1,301
17,15,3720.0,1100,1,1,722
17,16,3290.0,0,1,1,658
17,17,3720.0,1100,1,1,722
17,18,3720.0,1100,1,1,722
17,19,3720.0,1100,1,1,722
17,20,3720.0,1100,1,1,722
17,21,3630.0,200,1,1,722
17,22,3720.0,1100,1,1,722
