Generation,Sequence,Fitness,Score,World,Stage,X Position
10,7,3002.0,200,1,1,594
10,8,2981.0,100,1,1,594
10,9,2970.0,0,1,1,594
10,10,2970.0,0,1,1,594
10,11,3658.0,300,1,1,723
10,12,3658.0,300,1,1,723
10,13,3002.0,200,1,1,594
10,14,232.0,200,1,1,40
10,15,211.0,100,1,1,40
10,16,3002.0,200,1,1,594
10,17,3653.0,300,1,1,722
10,18,3658.0,300,1,1,723
10,19,2981.0,100,1,1,594
10,20,3653.0,300,1,1,722
10,21,200.0,0,1,1,40
10,22,2970.0,0,1,1,594
10,23,200.0,0,1,1,40
10,24,2970.0,0,1,1,594
10,25,200.0,0,1,1,40
10,26,3658.0,300,1,1,723
10,27,3621.0,100,1,1,722
10,28,2970.0,0,1,1,594
10,29,2981.0,100,1,1,594
10,30,200.0,0,1,1,40
10,31,232.0,200,1,1,40
10,32,2981.0,100,1,1,594
10,33,2975.0,0,1,1,595
10,34,3002.0,200,1,1,594
10,35,3007.0,200,1,1,595
10,36,3653.0,300,1,1,722
10,37,3653.0,300,1,1,722
10,38,3615.0,0,1,1,723
10,39,3002.0,200,1,1,594
10,40,2970.0,0,1,1,594
11,1,3632.0,200,1,1,722
11,2,3658.0,300,1,1,723
11,3,3002.0,200,1,1,594
11,4,2970.0,0,1,1,594
11,5,3653.0,300,1,1,722
11,6,3002.0,200,1,1,594
11,7,200.0,0,1,1,40
11,8,3626.0,100,1,1,723
11,9,3610.0,0,1,1,722
11,10,2970.0,0,1,1,594
11,11,3002.0,200,1,1,594
11,12,200.0,0,1,1,40
11,13,2981.0,100,1,1,594
11,14,3621.0,100,1,1,722
11,15,3653.0,300,1,1,722
11,16,2970.0,0,1,1,594
11,17,232.0,200,1,1,40
11,18,3002.0,200,1,1,594
11,19,3621.0,100,1,1,722
11,20,3002.0,200,1,1,594
11,21,3653.0,300,1,1,722
11,22,3621.0,100,1,1,722
11,23,3002.0,200,1,1,594
11,24,3002.0,200,1,1,594
11,25,3653.0,300,1,1,722
11,26,2970.0,0,1,1,594
11,27,2970.0,0,1,1,594
11,28,3610.0,0,1,1,722
11,29,3653.0,300,1,1,722
11,30,200.0,0,1,1,40
11,31,3653.0,300,1,1,722
11,32,3658.0,300,1,1,723
11,33,3653.0,300,1,1,722
11,34,2970.0,0,1,1,594
11,35,3653.0,300,1,1,722
11,36,3002.0,200,1,1,594
11,37,2970.0,0,1,1,594
11,38,3653.0,300,1,1,722
11,39,2981.0,100,1,1,594
11,40,3658.0,300,1,1,723
12,1,200.0,0,1,1,40
12,2,3002.0,200,1,1,594
12,3,3002.0,200,1,1,594
12,4,3658.0,300,1,1,723
12,5,3653.0,300,1,1,722
12,6,3653.0,300,1,1,722
12,7,2970.0,0,1,1,594
12,8,3002.0,200,1,1,594
12,9,3653.0,300,1,1,722
12,10,3002.0,200,1,1,594
12,11,3658.0,300,1,1,723
12,12,3653.0,300,1,1,722
12,13,3653.0,300,1,1,722
12,14,3002.0,200,1,1,594
12,15,2970.0,0,1,1,594
12,16,3653.0,300,1,1,722
12,17,3653.0,300,1,1,722
12,18,3653.0,300,1,1,722
12,19,3658.0,300,1,1,723
12,20,3653.0,300,1,1,722
12,21,232.0,200,1,1,40
12,22,2981.0,100,1,1,594
12,23,3002.0,200,1,1,594
12,24,3610.0,0,1,1,722
12,25,3653.0,300,1,1,722
12,26,200.0,0,1,1,40
12,27,2970.0,0,1,1,594
12,28,2970.0,0,1,1,594
12,29,3653.0,300,1,1,722
12,30,3002.0,200,1,1,594
12,31,3002.0,200,1,1,594
12,32,3002.0,200,1,1,594
12,33,2981.0,100,1,1,594
12,34,2975.0,0,1,1,595
12,35,3007.0,200,1,1,595
12,36,232.0,200,1,1,40
12,37,2970.0,0,1,1,594
12,38,3653.0,300,1,1,722
12,39,3002.0,200,1,1,594
12,40,3002.0,200,1,1,594
13,1,3007.0,200,1,1,595
13,2,200.0,0,1,1,40
13,3,2970.0,0,1,1,594
13,4,3653.0,300,1,1,722
13,5,2981.0,100,1,1,594
13,6,3653.0,300,1,1,722
13,7,3007.0,200,1,1,595
13,8,3637.0,200,1,1,723
13,9,2970.0,0,1,1,594
13,10,3621.0,100,1,1,722
13,11,200.0,0,1,1,40
13,12,3653.0,300,1,1,722
13,13,3002.0,200,1,1,594
13,14,3653.0,300,1,1,722
13,15,200.0,0,1,1,40
13,16,3632.0,200,1,1,722
13,17,3002.0,200,1,1,594
13,18,232.0,200,1,1,40
13,19,3653.0,300,1,1,722
13,20,3002.0,200,1,1,594
13,21,3621.0,100,1,1,722
13,22,3632.0,200,1,1,722
13,23,2970.0,0,1,1,594
13,24,3007.0,200,1,1,595
13,25,3653.0,300,1,1,722
13,26,3002.0,200,1,1,594
13,27,2970.0,0,1,1,594
13,28,2970.0,0,1,1,594
13,29,3007.0,200,1,1,595
13,30,3626.0,100,1,1,723
13,31,2981.0,100,1,1,594
13,32,3621.0,100,1,1,722
13,33,2975.0,0,1,1,595
13,34,2970.0,0,1,1,594
13,35,3658.0,300,1,1,723
13,36,3658.0,300,1,1,723
13,37,200.0,0,1,1,40
13,38,3632.0,200,1,1,722
13,39,2970.0,0,1,1,594
13,40,3653.0,300,1,1,722
14,1,200.0,0,1,1,40
14,2,3002.0,200,1,1,594
14,3,3653.0,300,1,1,722
14,4,3002.0,200,1,1,594
14,5,200.0,0,1,1,40
14,6,3621.0,100,1,1,722
14,7,200.0,0,1,1,40
14,8,3642.0,200,1,1,722
14,9,2970.0,0,1,1,594
14,10,3653.0,300,1,1,722
14,11,3658.0,300,1,1,723
14,12,3653.0,300,1,1,722
14,13,3002.0,200,1,1,594
14,14,3653.0,300,1,1,722
14,15,3653.0,300,1,1,722
14,16,3002.0,200,1,1,594
14,17,2970.0,0,1,1,594
14,18,3658.0,300,1,1,723
14,19,3002.0,200,1,1,594
14,20,3642.0,200,1,1,722
14,21,3007.0,200,1,1,595
14,22,3626.0,100,1,1,723
14,23,2981.0,100,1,1,594
14,24,3621.0,100,1,1,722
14,25,3002.0,200,1,1,594
14,26,3002.0,200,1,1,594
14,27,3615.0,0,1,1,723
14,28,3653.0,300,1,1,722
14,29,3653.0,300,1,1,722
14,30,3653.0,300,1,1,722
14,31,3653.0,300,1,1,722
14,32,3653.0,300,1,1,722
14,33,3002.0,200,1,1,594
14,34,2970.0,0,1,1,594
14,35,3002.0,200,1,1,594
14,36,3002.0,200,1,1,594
14,37,3658.0,300,1,1,723
14,38,3653.0,300,1,1,722
14,39,3002.0,200,1,1,594
14,40,3653.0,300,1,1,722
15,1,3621.0,100,1,1,722
15,2,3632.0,200,1,1,722
15,3,3002.0,200,1,1,594
